"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"Sp3",5880,5624,5031,4047,5971,3097,5517,6350,4725,4983,4141,4147
"Sp3os",113,123,98,68,78,41,72,93,83,79,90,103
"Sp4",531,605,504,364,967,515,796,914,1109,1178,852,740
"Sp5",21,51,20,15,10,7,22,41,415,1083,1702,1634
"Sp6",121,156,168,143,497,239,469,544,386,397,366,312
"Sp7",5,7,5,3,10,6,3,4,10,15,9,5
"Sp8",17,17,14,13,333,145,320,431,821,1021,465,310
"Sp9",0,4,3,1,2,3,0,6,4,12,4,8
"Spa17",23,20,13,17,17,10,13,27,49,56,42,40
"Spaca1",0,0,2,1,2,2,2,2,0,1,1,0
"Spaca3",0,0,0,0,0,0,0,0,0,0,0,0
"Spaca4",0,0,1,0,0,0,0,0,0,0,0,0
"Spaca5",1,0,0,0,0,0,0,0,0,0,0,0
"Spaca6",48,68,67,56,257,71,233,265,290,252,300,273
"Spaca7",0,0,0,0,0,0,0,3,0,0,0,0
"Spaca9",2,11,2,4,1,1,3,4,9,13,15,20
"Spag1",293,328,207,174,262,132,234,249,232,230,247,240
"Spag11a",0,0,0,0,0,0,0,0,0,0,0,0
"Spag11b",1,0,1,0,0,0,0,1,0,0,0,0
"Spag16",48,54,64,54,81,47,82,98,51,53,31,39
"Spag17",1,1,2,2,3,0,1,3,2,0,4,4
"Spag4",19,19,8,9,38,19,28,34,60,112,124,142
"Spag5",2612,3063,2542,2010,2501,1333,2211,2646,2532,3091,2902,3066
"Spag6",0,0,1,1,0,0,0,0,1,0,0,0
"Spag6l",15,11,30,14,15,5,13,18,7,8,7,4
"Spag7",1078,1381,1071,890,1671,847,1454,1654,1315,1507,1836,1586
"Spag8",5,5,6,6,9,6,11,22,26,32,26,33
"Spag9",1926,2141,1657,1248,2538,1326,2255,2739,2470,3092,2602,2927
"Spam1",0,0,0,0,0,0,0,0,0,0,0,0
"Spanxn4",0,0,0,0,0,0,0,0,0,0,0,0
"Sparc",2752,3226,3042,2198,2848,1314,2713,3231,3761,4735,5647,8196
"Sparcl1",2,0,8,3,4,2,7,7,29,35,19,22
"Spast",2038,2067,1882,1450,2996,1567,2562,2825,2647,2564,1939,2032
"Spata1",50,45,35,25,41,24,42,40,37,57,48,41
"Spata13",1013,1174,1089,816,3914,1930,3101,3630,4282,4686,5271,6578
"Spata16",0,0,0,0,0,0,0,0,0,0,0,0
"Spata17",5,6,5,1,3,0,5,6,10,11,8,12
"Spata18",1,1,3,0,5,4,1,4,1,3,2,2
"Spata19",0,0,0,0,1,0,0,0,0,1,0,0
"Spata2",799,863,696,583,844,402,865,962,690,768,887,971
"Spata20",0,1,1,1,3,1,0,1,1,0,0,0
"Spata21",5,15,9,7,3,4,0,2,5,2,2,2
"Spata22",45,56,41,64,15,9,20,35,5,0,0,7
"Spata24",54,75,74,55,130,63,135,135,141,202,148,157
"Spata25",0,4,1,1,5,2,3,4,4,3,2,2
"Spata2l",7,21,5,13,20,9,17,19,11,15,20,18
"Spata3",0,0,2,0,0,0,0,0,0,0,0,0
"Spata31",0,0,0,0,1,0,0,0,0,0,0,0
"Spata31d1a",98,80,83,66,46,29,26,31,27,16,11,5
"Spata31d1b",60,31,26,36,11,3,9,14,7,4,2,6
"Spata31d1c",0,0,1,0,0,0,0,0,1,0,0,0
"Spata31d1d",5,11,4,3,3,1,5,5,5,2,2,4
"Spata32",4,3,5,0,2,1,0,0,0,0,0,0
"Spata33",8,8,10,9,12,1,11,3,12,6,10,5
"Spata4",0,0,0,0,0,0,0,0,0,0,0,1
"Spata45",9,14,12,11,28,9,18,11,7,2,0,1
"Spata46",0,0,0,0,0,0,0,0,0,0,0,0
"Spata5",2290,2420,2222,1758,2878,1471,2687,3141,1976,1816,1697,1542
"Spata5l1",90,127,125,106,175,62,204,229,194,179,246,218
"Spata6",232,264,225,191,374,193,347,407,486,688,471,547
"Spata7",343,349,266,238,257,150,241,271,295,329,335,325
"Spata9",0,0,0,0,1,0,2,2,0,0,0,1
"Spatc1",9,6,7,3,1,1,5,3,2,0,0,1
"Spatc1l",1,0,0,0,0,0,1,0,0,1,0,0
"Spats1",83,120,72,63,15,9,23,13,12,7,2,1
"Spats2",1879,1814,1498,1211,2119,1098,1906,2093,2098,2483,2259,2527
"Spats2l",40,41,50,42,685,312,514,658,411,454,589,863
"Spc24",1182,1771,1576,1268,1392,651,1324,1614,1171,1037,1168,997
"Spc25",1670,1737,1618,1234,1920,955,1674,1963,1600,1884,1336,1384
"Spcs1",614,610,476,433,1103,506,770,920,873,990,812,962
"Spcs2",1467,1542,1351,1031,2653,1416,2316,2610,2212,2390,2224,2465
"Spcs3",4123,4416,3711,2697,5681,2943,4528,5066,4498,5164,2970,3377
"Spdef",8,7,7,7,9,2,10,6,22,32,8,38
"Spdl1",1445,1653,1369,1103,1675,871,1294,1562,1319,1357,1392,1330
"Spdya",3,2,3,2,2,3,6,6,12,8,1,4
"Spdye4a",2,2,2,1,0,0,3,0,1,0,0,1
"Spdye4b",1,0,3,1,3,0,3,3,2,2,3,1
"Spdye4c",0,0,0,0,0,0,0,0,0,0,0,0
"Specc1",414,473,637,379,1163,514,1632,1251,1172,965,1535,1094
"Specc1l",1912,2171,1922,1591,3122,1334,2792,3359,2790,3147,3488,3623
